_id,id,name,description,flash_time,flash_yellow,operation_type,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
123,1724665899,TS221,Charles St - Perrysville Ave,00:00 - 06:00,PERRYSVILLE AVE,Fixed,Perry South,6,26,42003261500,1,26,1,1-23,40.47101409,-80.00860156
124,462552568,TS222,Chartiers Ave - Lorenz Ave,24 Hr stop and go,CHARTIERS AVE,Semi Actuated,Elliott,2,20,42003562600,5,20,6,1-17,40.44398115,-80.04063288
125,1073457786,TS226,Chaucer St - Deary St - Lincoln Ave,24 Hr stop and go,LINCOLN AVE,Fixed,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46421488,-79.90075852
126,1182969737,TS227,Cherry Way - Fifth Ave - WIlliam Penn Pl,24 Hr stop and go,FIFTH AVE,Fixed,Central Business District,6,2,42003020100,6,2,2,1-4,40.43974842,-79.99772074
127,849705252,TS228,Cherry Way - Forbes Ave,24 Hr stop and go,FORBES AVE,Fixed,Central Business District,6,2,42003020100,6,2,2,1-4,40.43905892,-79.99821616
128,248558072,TS229,Cherry Way - Fourth Ave,00:00 - 06:00,FOURTH AVE,Fixed,Central Business District,6,1,42003020100,6,1,2,1-4,40.43840401,-79.99866647
129,1086050341,TS23,Blvd of the Allies - Dawson St,24 Hr stop and go,,Fixed,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43439129,-79.95319393
130,1179327304,TS231,Chestnut St - East Ohio St,24 Hr stop and go,EAST OHIO ST,Fixed,East Allegheny,1,23,42003563200,1,23,1,1-5,40.45492703,-79.9945075
131,141655232,TS232,Chestnut St - Progress St,24 Hr stop and go,CHESTNUT ST,Fixed,Troy Hill,1,23,42003240600,1,23,1,1-5,40.45319413,-79.99269077
132,583715480,TS233,Chislett St - Stanton Ave,24 Hr stop and go,STANTON AVE,Fixed,East Liberty,7,11,42003111300,2,11,5,3-7,40.4732605,-79.93074285
133,333438521,TS234,Collier St - Frankstown Ave,24 Hr stop and go,FRANKSTOWN AVE,Fixed,Homewood South,9,13,42003130400,2,13,5,3-17,40.45640084,-79.89190477
134,1123714228,TS235,Centre Ave - Station St,00:00 - 06:00,CENTRE AVE,Semi Actuated,East Liberty,9,11,42003111500,2,11,5,3-8,40.46287917,-79.92130109
135,1757953109,TS236,Commons - Federal St N,24 Hr stop and go,,Fully Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45392567,-80.0060741
136,2055879282,TS237,Commons - Federal St S,24 Hr stop and go,,Fully Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45021479,-80.00496805
137,2058810229,TS238,Commons - East Ohio St,24 Hr stop and go,,Fully Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45297138,-80.00367899
